id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark,Graduated,Satisfaction,Salon_etudiant,Duree_embauche,Graduated,Satisfaction,Salon_etudiant,Duree_embauche
4252,Inga,Ventre,Inga.Ventre@supinfo.com,1997-07-16,Caen,2019-2020,2,Capgemini,Msc1,70.03,Oui,63,Non,24,Oui,63,Non,24
4253,Paule,Sherfield,Paule.Sherfield@supinfo.com,1995-06-04,Lille,2019-2020,1,Engie,Bsc,88.77,Non,69,Oui,24,Non,69,Oui,24
4254,Madeleine,Buffum,Madeleine.Buffum@supinfo.com,1994-11-06,Tours,2019-2020,2,RTE,Bsc,41.47,Oui,22,Oui,6,Oui,22,Oui,6
4255,Therine,Sandye,Therine.Sandye@supinfo.com,1999-10-21,Caen,2019-2020,2,EDF,Msc1,46.46,Non,67,Non,24,Non,67,Non,24
4256,Chickie,Helve,Chickie.Helve@supinfo.com,1995-03-22,Paris,2019-2020,2,BNP Paribas,Msc1,79.9,Non,33,Non,3,Non,33,Non,3
4257,Olivette,Rocray,Olivette.Rocray@supinfo.com,1999-09-23,Tours,2019-2020,2,Carrefour,Msc2,84.46,Non,23,Non,24,Non,23,Non,24
4258,Roslyn,Stelle,Roslyn.Stelle@supinfo.com,1994-06-09,Caen,2019-2020,1,BNP Paribas,Msc2,76.89,Non,22,Non,18,Non,22,Non,18
4259,Mildrid,Dorothy,Mildrid.Dorothy@supinfo.com,1995-06-03,Paris,2019-2020,2,Talan,Msc1,57.49,Non,44,Non,6,Non,44,Non,6
4260,Ulrike,Naashom,Ulrike.Naashom@supinfo.com,1994-04-30,Lille,2019-2020,2,Amazon,Msc1,80.95,Non,44,Oui,24,Non,44,Oui,24
4261,Louella,Hamil,Louella.Hamil@supinfo.com,1994-11-23,Paris,2019-2020,2,Engie,Msc1,36.28,Non,77,Oui,24,Non,77,Oui,24
4262,Nananne,Glenden,Nananne.Glenden@supinfo.com,1998-10-07,Paris,2019-2020,2,BNP Paribas,Msc1,75.28,Oui,2,Oui,6,Oui,2,Oui,6
4263,Desirae,Edee,Desirae.Edee@supinfo.com,1997-07-17,Caen,2019-2020,2,SNCF,Bsc,41.49,Non,97,Oui,6,Non,97,Oui,6
4264,Paule,Gavrila,Paule.Gavrila@supinfo.com,1994-04-30,Paris,2019-2020,2,LCL,Msc2,33.58,Oui,86,Non,3,Oui,86,Non,3
4265,Natka,Cosenza,Natka.Cosenza@supinfo.com,1998-06-07,Lyon,2019-2020,1,EDF,Bsc,61.23,Non,3,Oui,12,Non,3,Oui,12
4266,Jackie,Oster,Jackie.Oster@supinfo.com,1999-10-16,Paris,2019-2020,1,Capgemini,Bsc,46.56,Oui,51,Non,3,Oui,51,Non,3
4267,Kenna,Mozelle,Kenna.Mozelle@supinfo.com,1999-10-25,Lille,2019-2020,1,Enedis,Msc2,83.81,Oui,37,Non,12,Oui,37,Non,12
4268,Ursulina,Rhu,Ursulina.Rhu@supinfo.com,1995-04-25,Lille,2019-2020,1,Engie,Msc1,83.85,Non,30,Oui,18,Non,30,Oui,18
4269,Dawn,Velick,Dawn.Velick@supinfo.com,1996-01-08,Caen,2019-2020,2,Talan,Msc1,52.06,Oui,54,Oui,12,Oui,54,Oui,12
4270,Evita,Dituri,Evita.Dituri@supinfo.com,1995-02-21,Tours,2019-2020,2,BNP Paribas,Msc2,44.45,Oui,49,Non,12,Oui,49,Non,12
4271,Gusty,Lorain,Gusty.Lorain@supinfo.com,1996-05-17,Tours,2019-2020,2,Talan,Bsc,43.87,Oui,5,Non,6,Oui,5,Non,6
4272,Christian,Aprile,Christian.Aprile@supinfo.com,1995-03-06,Lyon,2019-2020,2,LCL,Msc1,73.4,Oui,9,Oui,24,Oui,9,Oui,24
4273,Marline,Teddman,Marline.Teddman@supinfo.com,1996-05-22,Paris,2019-2020,2,Engie,Msc2,74.74,Oui,70,Oui,3,Oui,70,Oui,3
4274,Latisha,Fax,Latisha.Fax@supinfo.com,1995-04-08,Lyon,2019-2020,1,LCL,Msc2,40.94,Oui,56,Non,18,Oui,56,Non,18
4275,Roxane,O'Rourke,Roxane.O'Rourke@supinfo.com,1997-12-14,Caen,2019-2020,1,SNCF,Msc1,70.8,Oui,100,Oui,12,Oui,100,Oui,12
4276,Vonny,Cottle,Vonny.Cottle@supinfo.com,1996-10-16,Caen,2019-2020,2,SNCF,Msc1,90.6,Non,61,Non,3,Non,61,Non,3
4277,Carolina,Chapland,Carolina.Chapland@supinfo.com,1997-05-18,Lille,2019-2020,2,RTE,Bsc,65.38,Non,58,Non,6,Non,58,Non,6
4278,Beatriz,Hessler,Beatriz.Hessler@supinfo.com,1999-11-15,Caen,2019-2020,1,Engie,Msc2,38.65,Non,62,Oui,3,Non,62,Oui,3
4279,Rosabelle,Lipson,Rosabelle.Lipson@supinfo.com,1996-09-24,Tours,2019-2020,2,Talan,Bsc,74.6,Oui,1,Oui,12,Oui,1,Oui,12
4280,Tilly,Tound,Tilly.Tound@supinfo.com,1997-09-04,Caen,2019-2020,2,RTE,Bsc,84.02,Oui,86,Non,6,Oui,86,Non,6
4281,Aurelie,Tillford,Aurelie.Tillford@supinfo.com,1997-05-18,Caen,2019-2020,1,Amazon,Bsc,34.86,Non,4,Non,24,Non,4,Non,24
4282,Ronna,Cavan,Ronna.Cavan@supinfo.com,1998-06-06,Lille,2019-2020,2,Enedis,Bsc,63.77,Non,91,Non,18,Non,91,Non,18
4283,Bertine,Ezar,Bertine.Ezar@supinfo.com,1996-02-11,Caen,2019-2020,2,Amazon,Bsc,48.06,Non,94,Non,3,Non,94,Non,3
4284,Gwyneth,Engdahl,Gwyneth.Engdahl@supinfo.com,1996-12-04,Lyon,2019-2020,2,Enedis,Msc1,33.67,Oui,56,Oui,24,Oui,56,Oui,24
4285,Celisse,Malanie,Celisse.Malanie@supinfo.com,1996-05-27,Lyon,2019-2020,2,Enedis,Msc1,62.92,Oui,23,Oui,12,Oui,23,Oui,12
4286,Charissa,Ingra,Charissa.Ingra@supinfo.com,1997-08-20,Lyon,2019-2020,1,Enedis,Bsc,73.96,Oui,2,Oui,18,Oui,2,Oui,18
4287,Kelly,Zola,Kelly.Zola@supinfo.com,1996-03-30,Lille,2019-2020,2,LCL,Bsc,48.69,Non,97,Oui,3,Non,97,Oui,3
4288,Donetta,Sancho,Donetta.Sancho@supinfo.com,1995-11-03,Tours,2019-2020,1,Talan,Msc1,37.35,Oui,89,Non,18,Oui,89,Non,18
4289,Ericka,Thar,Ericka.Thar@supinfo.com,1998-04-27,Lyon,2019-2020,2,BNP Paribas,Bsc,66.91,Non,81,Oui,24,Non,81,Oui,24
4290,Roberta,Pip,Roberta.Pip@supinfo.com,1999-03-01,Lyon,2019-2020,2,Enedis,Msc2,48.3,Non,85,Oui,6,Non,85,Oui,6
4291,Kenna,Saree,Kenna.Saree@supinfo.com,1997-05-10,Paris,2019-2020,1,Talan,Bsc,57.04,Oui,34,Oui,12,Oui,34,Oui,12
4292,Shaylyn,Morrill,Shaylyn.Morrill@supinfo.com,1998-07-18,Caen,2019-2020,1,SNCF,Msc1,73.39,Non,45,Non,3,Non,45,Non,3
4293,Kathi,Masao,Kathi.Masao@supinfo.com,1997-11-03,Lille,2019-2020,1,BNP Paribas,Bsc,74.48,Non,16,Oui,24,Non,16,Oui,24
4294,Phedra,Felecia,Phedra.Felecia@supinfo.com,1997-10-12,Lille,2019-2020,1,BNP Paribas,Bsc,80.09,Oui,69,Oui,3,Oui,69,Oui,3
4295,Darci,Craggie,Darci.Craggie@supinfo.com,1999-01-07,Paris,2019-2020,1,LCL,Msc1,85.78,Oui,75,Non,6,Oui,75,Non,6
4296,Ricky,Ajay,Ricky.Ajay@supinfo.com,1999-09-13,Lille,2019-2020,2,SNCF,Msc1,34.69,Non,61,Oui,12,Non,61,Oui,12
4297,Verla,Agle,Verla.Agle@supinfo.com,1999-01-10,Caen,2019-2020,1,Amazon,Msc1,53.76,Oui,69,Non,18,Oui,69,Non,18
4298,Tersina,Maroney,Tersina.Maroney@supinfo.com,1997-04-14,Tours,2019-2020,2,Capgemini,Msc2,31.99,Oui,23,Oui,6,Oui,23,Oui,6
4299,Thalia,Scammon,Thalia.Scammon@supinfo.com,1994-05-08,Tours,2019-2020,1,RTE,Bsc,77.55,Non,79,Non,6,Non,79,Non,6
4300,Aubrie,Dex,Aubrie.Dex@supinfo.com,1999-10-28,Caen,2019-2020,2,Engie,Bsc,35.7,Oui,65,Non,18,Oui,65,Non,18
4301,Olivette,Gusella,Olivette.Gusella@supinfo.com,1999-04-13,Tours,2019-2020,1,SNCF,Bsc,30.8,Oui,34,Non,3,Oui,34,Non,3
4302,Flory,Bashemeth,Flory.Bashemeth@supinfo.com,1997-09-02,Lyon,2019-2020,2,Amazon,Msc2,30.42,Oui,13,Oui,24,Oui,13,Oui,24
4303,Maye,Yam,Maye.Yam@supinfo.com,1995-09-16,Lyon,2019-2020,1,RTE,Msc1,90.01,Oui,80,Oui,18,Oui,80,Oui,18
4304,Cassandra,Mehalek,Cassandra.Mehalek@supinfo.com,1997-12-11,Tours,2019-2020,2,Talan,Msc1,40.28,Oui,47,Oui,6,Oui,47,Oui,6
4305,Krystle,Germann,Krystle.Germann@supinfo.com,1998-10-15,Lyon,2019-2020,1,EDF,Bsc,67.91,Non,25,Oui,6,Non,25,Oui,6
4306,Shannah,Bigner,Shannah.Bigner@supinfo.com,1999-08-14,Lille,2019-2020,1,Capgemini,Bsc,74.36,Oui,32,Oui,24,Oui,32,Oui,24
4307,Sibella,Guthrie,Sibella.Guthrie@supinfo.com,1998-04-18,Paris,2019-2020,1,LCL,Bsc,91.77,Non,9,Non,3,Non,9,Non,3
4308,Kristina,Guildroy,Kristina.Guildroy@supinfo.com,1998-03-20,Caen,2019-2020,2,LCL,Msc1,71.16,Oui,21,Non,3,Oui,21,Non,3
4309,Aili,Yate,Aili.Yate@supinfo.com,1996-05-10,Paris,2019-2020,1,LCL,Msc1,69.51,Non,21,Oui,3,Non,21,Oui,3
4310,Annora,Lipson,Annora.Lipson@supinfo.com,1995-12-25,Lille,2019-2020,1,Engie,Msc1,31.7,Oui,39,Oui,12,Oui,39,Oui,12
4311,Blondelle,Bivins,Blondelle.Bivins@supinfo.com,1996-05-29,Lille,2019-2020,2,Amazon,Msc1,92.35,Oui,93,Non,12,Oui,93,Non,12
4312,Sarette,Nore,Sarette.Nore@supinfo.com,1999-06-07,Paris,2019-2020,2,Talan,Msc1,66,Non,56,Non,6,Non,56,Non,6
4313,Fidelia,Mathilde,Fidelia.Mathilde@supinfo.com,1998-09-09,Lille,2019-2020,1,RTE,Msc2,35.86,Non,12,Oui,3,Non,12,Oui,3
4314,Ardys,Eachern,Ardys.Eachern@supinfo.com,1998-08-12,Paris,2019-2020,2,SNCF,Msc2,84.2,Non,93,Non,6,Non,93,Non,6
4315,Bobinette,Ardra,Bobinette.Ardra@supinfo.com,1997-05-03,Lille,2019-2020,2,Enedis,Bsc,53.16,Non,64,Oui,6,Non,64,Oui,6
4316,Alyssa,Catie,Alyssa.Catie@supinfo.com,1997-05-20,Lyon,2019-2020,2,BNP Paribas,Msc1,48.92,Oui,82,Oui,18,Oui,82,Oui,18
4317,Jordan,Han,Jordan.Han@supinfo.com,1996-05-16,Paris,2019-2020,2,SNCF,Bsc,88.43,Non,33,Oui,6,Non,33,Oui,6
4318,Lucy,Alexandr,Lucy.Alexandr@supinfo.com,1996-05-17,Caen,2019-2020,2,RTE,Msc2,52.24,Oui,58,Oui,24,Oui,58,Oui,24
4319,Pearline,Autrey,Pearline.Autrey@supinfo.com,1998-08-12,Lille,2019-2020,2,RTE,Msc1,95.68,Oui,54,Non,6,Oui,54,Non,6
4320,Mireielle,Wolfgram,Mireielle.Wolfgram@supinfo.com,1998-12-19,Lille,2019-2020,2,Engie,Msc2,38.83,Non,70,Oui,6,Non,70,Oui,6
4321,Belva,Giule,Belva.Giule@supinfo.com,1998-04-27,Lyon,2019-2020,1,RTE,Msc1,68.43,Non,44,Non,24,Non,44,Non,24
4322,Misha,Leler,Misha.Leler@supinfo.com,1997-12-20,Lyon,2019-2020,1,LCL,Msc2,40.93,Oui,94,Oui,6,Oui,94,Oui,6
4323,Jenda,Brenn,Jenda.Brenn@supinfo.com,1994-02-15,Lille,2019-2020,2,Capgemini,Bsc,33.88,Non,82,Oui,6,Non,82,Oui,6
4324,Celene,Middleton,Celene.Middleton@supinfo.com,1994-07-31,Lyon,2019-2020,1,Engie,Msc1,61,Oui,38,Non,12,Oui,38,Non,12
4325,Maye,Kosey,Maye.Kosey@supinfo.com,1998-11-15,Tours,2019-2020,1,Capgemini,Msc2,82.94,Non,59,Oui,12,Non,59,Oui,12
4326,Helena,Shaddock,Helena.Shaddock@supinfo.com,1999-03-23,Paris,2019-2020,2,RTE,Bsc,43.27,Non,36,Non,24,Non,36,Non,24
4327,Wendi,Bethany,Wendi.Bethany@supinfo.com,1994-08-01,Caen,2019-2020,1,Carrefour,Msc2,50.49,Oui,29,Non,3,Oui,29,Non,3
4328,Christal,Sacken,Christal.Sacken@supinfo.com,1995-01-21,Lyon,2019-2020,2,Enedis,Msc1,70.57,Non,68,Oui,6,Non,68,Oui,6
4329,Mignon,Plato,Mignon.Plato@supinfo.com,1998-05-17,Caen,2019-2020,2,SNCF,Msc1,65.7,Oui,49,Non,24,Oui,49,Non,24
4330,Asia,Shuler,Asia.Shuler@supinfo.com,1996-10-17,Paris,2019-2020,1,Talan,Bsc,46.95,Non,94,Non,12,Non,94,Non,12
4331,Meriel,Anderea,Meriel.Anderea@supinfo.com,1999-10-05,Lille,2019-2020,2,Capgemini,Bsc,45.06,Oui,3,Non,6,Oui,3,Non,6
4332,Ketti,Knowling,Ketti.Knowling@supinfo.com,1995-04-15,Tours,2019-2020,1,Engie,Bsc,60.83,Non,100,Oui,24,Non,100,Oui,24
4333,Linet,Beebe,Linet.Beebe@supinfo.com,1994-06-11,Lyon,2019-2020,2,Carrefour,Bsc,72.55,Non,16,Non,3,Non,16,Non,3
4334,Libbie,Kelula,Libbie.Kelula@supinfo.com,1997-02-03,Paris,2019-2020,1,LCL,Msc1,46.56,Oui,27,Non,3,Oui,27,Non,3
4335,Georgina,Libna,Georgina.Libna@supinfo.com,1997-09-23,Tours,2019-2020,1,Talan,Msc2,68.12,Oui,13,Non,24,Oui,13,Non,24
4336,Caryl,Paine,Caryl.Paine@supinfo.com,1995-10-26,Paris,2019-2020,2,Enedis,Bsc,54.13,Non,26,Oui,3,Non,26,Oui,3
4337,Celene,Holbrook,Celene.Holbrook@supinfo.com,1996-08-08,Paris,2019-2020,1,Carrefour,Msc2,82.26,Non,23,Non,18,Non,23,Non,18
4338,Gretal,Cimbura,Gretal.Cimbura@supinfo.com,1998-08-31,Caen,2019-2020,2,LCL,Msc2,72.5,Non,43,Oui,18,Non,43,Oui,18
4339,Fredericka,Sisile,Fredericka.Sisile@supinfo.com,1998-01-15,Lille,2019-2020,2,LCL,Msc2,40.19,Oui,26,Oui,24,Oui,26,Oui,24
4340,Shannah,Birdella,Shannah.Birdella@supinfo.com,1995-12-05,Lille,2019-2020,2,Engie,Msc2,69.21,Oui,35,Non,6,Oui,35,Non,6
4341,Jessy,Janene,Jessy.Janene@supinfo.com,1998-12-26,Lyon,2019-2020,2,Engie,Msc1,37.89,Non,11,Oui,6,Non,11,Oui,6
4342,Vanessa,Stanwood,Vanessa.Stanwood@supinfo.com,1995-05-28,Lyon,2019-2020,2,EDF,Msc1,94.21,Oui,6,Oui,6,Oui,6,Oui,6
4343,Gratia,Sancho,Gratia.Sancho@supinfo.com,1999-09-04,Caen,2019-2020,2,LCL,Msc1,66.25,Oui,11,Oui,24,Oui,11,Oui,24
4344,Emilia,Bluh,Emilia.Bluh@supinfo.com,1995-03-26,Lyon,2019-2020,2,LCL,Msc2,52.54,Non,7,Non,3,Non,7,Non,3
4345,Paule,Edmund,Paule.Edmund@supinfo.com,1995-07-14,Lille,2019-2020,1,RTE,Bsc,65.3,Non,84,Non,12,Non,84,Non,12
4346,Sean,Kress,Sean.Kress@supinfo.com,1995-05-22,Lyon,2019-2020,2,BNP Paribas,Bsc,87.1,Non,2,Non,3,Non,2,Non,3
4347,Tatiania,Garrison,Tatiania.Garrison@supinfo.com,1998-12-15,Lyon,2019-2020,2,Capgemini,Msc1,53.28,Oui,90,Oui,3,Oui,90,Oui,3
4348,Rori,Orlene,Rori.Orlene@supinfo.com,1994-01-20,Caen,2019-2020,1,Engie,Msc1,76.49,Non,7,Non,18,Non,7,Non,18
4349,Joleen,Jerold,Joleen.Jerold@supinfo.com,1994-07-14,Paris,2019-2020,2,LCL,Msc1,84.31,Oui,40,Non,18,Oui,40,Non,18
4350,Marinna,Richers,Marinna.Richers@supinfo.com,1996-12-14,Lyon,2019-2020,1,Amazon,Bsc,88.29,Oui,25,Non,6,Oui,25,Non,6
4351,Jacquetta,Bronk,Jacquetta.Bronk@supinfo.com,1998-02-20,Lille,2019-2020,2,EDF,Msc2,76.89,Non,32,Non,24,Non,32,Non,24
4352,Darlleen,Idelia,Darlleen.Idelia@supinfo.com,1995-04-16,Lyon,2019-2020,2,Engie,Msc1,67.21,Non,8,Oui,12,Non,8,Oui,12
4353,Randa,Wenoa,Randa.Wenoa@supinfo.com,1999-10-31,Lyon,2019-2020,2,Carrefour,Bsc,86.43,Non,73,Non,18,Non,73,Non,18
4354,Maridel,Barbey,Maridel.Barbey@supinfo.com,1998-03-31,Paris,2019-2020,2,BNP Paribas,Bsc,77.39,Non,95,Non,18,Non,95,Non,18
4355,Natka,Lesley,Natka.Lesley@supinfo.com,1997-01-09,Paris,2019-2020,1,Enedis,Msc2,87.83,Oui,92,Non,3,Oui,92,Non,3
4356,Gertrud,Dituri,Gertrud.Dituri@supinfo.com,1998-11-30,Caen,2019-2020,1,Enedis,Bsc,86.35,Non,79,Oui,24,Non,79,Oui,24
4357,Gloria,Prober,Gloria.Prober@supinfo.com,1997-04-21,Tours,2019-2020,1,Enedis,Bsc,44.05,Oui,83,Oui,24,Oui,83,Oui,24
4358,Fanchon,Kinnard,Fanchon.Kinnard@supinfo.com,1995-09-17,Paris,2019-2020,1,Enedis,Msc2,53.81,Oui,41,Non,3,Oui,41,Non,3
4359,Felice,Bibi,Felice.Bibi@supinfo.com,1995-10-27,Lille,2019-2020,2,BNP Paribas,Msc2,88.93,Non,2,Non,3,Non,2,Non,3
4360,Chastity,Bari,Chastity.Bari@supinfo.com,1995-11-13,Paris,2019-2020,2,LCL,Bsc,46.79,Non,59,Oui,18,Non,59,Oui,18
4361,Zia,Wittie,Zia.Wittie@supinfo.com,1996-10-31,Paris,2019-2020,2,EDF,Msc2,87.18,Non,32,Non,6,Non,32,Non,6
4362,Christian,Gale,Christian.Gale@supinfo.com,1999-01-28,Lyon,2019-2020,2,Talan,Msc1,50.43,Oui,69,Non,24,Oui,69,Non,24
4363,Carmela,Hillel,Carmela.Hillel@supinfo.com,1996-07-21,Lille,2019-2020,1,Carrefour,Msc1,40.06,Non,22,Oui,24,Non,22,Oui,24
4364,Beth,Sothena,Beth.Sothena@supinfo.com,1994-03-25,Lille,2019-2020,1,Enedis,Msc2,69.44,Oui,96,Oui,3,Oui,96,Oui,3
4365,Amalie,Khorma,Amalie.Khorma@supinfo.com,1994-05-11,Tours,2019-2020,2,Carrefour,Bsc,37.43,Non,78,Oui,24,Non,78,Oui,24
4366,Nadine,Wattenberg,Nadine.Wattenberg@supinfo.com,1999-08-23,Caen,2019-2020,1,Talan,Msc1,68.64,Non,75,Oui,18,Non,75,Oui,18
4367,Karlee,Eliathas,Karlee.Eliathas@supinfo.com,1994-02-15,Paris,2019-2020,2,Engie,Msc2,60.82,Oui,1,Oui,3,Oui,1,Oui,3
4368,Vevay,Woodberry,Vevay.Woodberry@supinfo.com,1996-12-01,Lyon,2019-2020,2,Enedis,Msc2,63.17,Non,30,Oui,6,Non,30,Oui,6
4369,Beatriz,Cath,Beatriz.Cath@supinfo.com,1997-04-20,Tours,2019-2020,1,Talan,Bsc,94.61,Oui,58,Non,24,Oui,58,Non,24
4370,Amii,Ophelia,Amii.Ophelia@supinfo.com,1996-05-05,Paris,2019-2020,2,Engie,Msc1,40.22,Non,42,Non,24,Non,42,Non,24
4371,Albertina,Chandler,Albertina.Chandler@supinfo.com,1997-04-06,Lyon,2019-2020,1,Amazon,Msc2,42.22,Non,90,Oui,12,Non,90,Oui,12
4372,Amalie,Prouty,Amalie.Prouty@supinfo.com,1997-03-25,Lille,2019-2020,2,SNCF,Msc1,31.25,Non,4,Non,24,Non,4,Non,24
4373,Marcelline,Teryn,Marcelline.Teryn@supinfo.com,1999-06-08,Lille,2019-2020,1,LCL,Msc1,39.85,Non,43,Non,3,Non,43,Non,3
4374,Sandie,Lissi,Sandie.Lissi@supinfo.com,1998-10-30,Caen,2019-2020,2,RTE,Bsc,76.73,Oui,17,Oui,18,Oui,17,Oui,18
4375,Shirlee,Sheng,Shirlee.Sheng@supinfo.com,1995-03-21,Caen,2019-2020,1,Amazon,Msc2,60.06,Non,83,Oui,18,Non,83,Oui,18
4376,Violet,Lacombe,Violet.Lacombe@supinfo.com,1998-04-01,Paris,2019-2020,1,EDF,Bsc,49.37,Non,56,Non,3,Non,56,Non,3
4377,Brena,Chick,Brena.Chick@supinfo.com,1999-10-18,Lyon,2019-2020,2,RTE,Bsc,39.5,Non,56,Non,24,Non,56,Non,24
4378,Alisha,Atonsah,Alisha.Atonsah@supinfo.com,1994-05-01,Caen,2019-2020,2,Talan,Bsc,86.5,Non,45,Non,18,Non,45,Non,18
4379,Danika,Linehan,Danika.Linehan@supinfo.com,1995-12-27,Caen,2019-2020,1,EDF,Bsc,31.06,Non,11,Non,18,Non,11,Non,18
4380,Phedra,Cath,Phedra.Cath@supinfo.com,1997-09-09,Paris,2019-2020,2,EDF,Msc2,86.22,Oui,74,Non,12,Oui,74,Non,12
4381,Cyb,Buckler,Cyb.Buckler@supinfo.com,1995-01-08,Lyon,2019-2020,2,Engie,Msc1,63.86,Oui,17,Non,24,Oui,17,Non,24
4382,Tybie,Lane,Tybie.Lane@supinfo.com,1994-01-23,Paris,2019-2020,2,SNCF,Bsc,82.97,Non,86,Oui,18,Non,86,Oui,18
4383,Dacia,Bigner,Dacia.Bigner@supinfo.com,1994-12-28,Lille,2019-2020,2,EDF,Msc1,85.92,Non,56,Oui,12,Non,56,Oui,12
4384,Susan,Modie,Susan.Modie@supinfo.com,1995-04-19,Paris,2019-2020,2,Capgemini,Msc2,51.35,Non,38,Oui,12,Non,38,Oui,12
4385,Corly,Lumbard,Corly.Lumbard@supinfo.com,1999-12-17,Tours,2019-2020,2,Enedis,Msc1,70.56,Non,76,Non,18,Non,76,Non,18
4386,Beatriz,Posner,Beatriz.Posner@supinfo.com,1999-06-20,Lyon,2019-2020,1,EDF,Msc2,82.33,Non,48,Oui,18,Non,48,Oui,18
4387,Dawn,Emerson,Dawn.Emerson@supinfo.com,1995-12-09,Tours,2019-2020,2,Amazon,Msc2,51.81,Oui,54,Non,18,Oui,54,Non,18
4388,Kial,Iphlgenia,Kial.Iphlgenia@supinfo.com,1994-09-10,Lyon,2019-2020,1,Amazon,Bsc,32.6,Oui,96,Oui,6,Oui,96,Oui,6
4389,Joleen,Tremayne,Joleen.Tremayne@supinfo.com,1996-07-25,Tours,2019-2020,2,Engie,Msc1,81.55,Non,72,Non,12,Non,72,Non,12
4390,Keelia,Koehler,Keelia.Koehler@supinfo.com,1996-02-10,Caen,2019-2020,1,Talan,Msc1,48.76,Oui,60,Oui,24,Oui,60,Oui,24
4391,Harrietta,Dyche,Harrietta.Dyche@supinfo.com,1994-02-05,Paris,2019-2020,1,BNP Paribas,Msc1,43.96,Non,14,Non,18,Non,14,Non,18
4392,Donetta,Nore,Donetta.Nore@supinfo.com,1998-06-03,Paris,2019-2020,2,RTE,Msc1,37.62,Non,60,Oui,12,Non,60,Oui,12
4393,Ashlee,Rozanna,Ashlee.Rozanna@supinfo.com,1998-09-13,Tours,2019-2020,1,Talan,Msc1,70.71,Oui,14,Oui,24,Oui,14,Oui,24
4394,Roxane,Elvyn,Roxane.Elvyn@supinfo.com,1997-12-01,Lille,2019-2020,2,Capgemini,Msc2,85.1,Non,20,Oui,18,Non,20,Oui,18
4395,Mahalia,Heidt,Mahalia.Heidt@supinfo.com,1997-09-14,Caen,2019-2020,1,Carrefour,Msc2,51.09,Non,44,Oui,12,Non,44,Oui,12
4396,Jolyn,Anderea,Jolyn.Anderea@supinfo.com,1998-04-14,Lille,2019-2020,2,Carrefour,Msc1,67.05,Oui,42,Non,12,Oui,42,Non,12
4397,Estell,Charmine,Estell.Charmine@supinfo.com,1995-06-13,Caen,2019-2020,2,BNP Paribas,Msc2,72.82,Oui,46,Oui,3,Oui,46,Oui,3
4398,Basia,Kendrick,Basia.Kendrick@supinfo.com,1997-09-30,Paris,2019-2020,2,RTE,Msc2,82.8,Non,20,Non,18,Non,20,Non,18
4399,Lacie,Erich,Lacie.Erich@supinfo.com,1995-12-31,Tours,2019-2020,1,RTE,Bsc,50.07,Oui,82,Oui,3,Oui,82,Oui,3
4400,Lenna,Kare,Lenna.Kare@supinfo.com,1995-11-24,Lyon,2019-2020,2,Amazon,Msc2,93.49,Non,59,Non,18,Non,59,Non,18
4401,Rhoda,Birdella,Rhoda.Birdella@supinfo.com,1996-11-08,Caen,2019-2020,2,Capgemini,Bsc,30.53,Non,18,Oui,12,Non,18,Oui,12
4402,Hallie,Lorain,Hallie.Lorain@supinfo.com,1997-05-23,Lyon,2019-2020,2,LCL,Msc2,42.56,Oui,48,Oui,12,Oui,48,Oui,12
4403,Bettine,Colp,Bettine.Colp@supinfo.com,1994-10-04,Paris,2019-2020,2,SNCF,Msc1,38.93,Oui,58,Non,18,Oui,58,Non,18
4404,Cordi,Zuzana,Cordi.Zuzana@supinfo.com,1997-07-19,Caen,2019-2020,1,SNCF,Msc2,95.77,Oui,44,Oui,24,Oui,44,Oui,24
4405,Susan,Magdalen,Susan.Magdalen@supinfo.com,1996-06-23,Lyon,2019-2020,1,SNCF,Msc2,62.82,Non,68,Non,18,Non,68,Non,18
4406,Lacie,Tayib,Lacie.Tayib@supinfo.com,1994-08-05,Caen,2019-2020,2,SNCF,Bsc,87.79,Non,94,Non,6,Non,94,Non,6
4407,Neila,Ade,Neila.Ade@supinfo.com,1999-06-13,Lille,2019-2020,1,Talan,Bsc,58.63,Non,22,Oui,3,Non,22,Oui,3
4408,Lily,Annabella,Lily.Annabella@supinfo.com,1994-08-27,Paris,2019-2020,2,Carrefour,Bsc,32.19,Non,81,Non,24,Non,81,Non,24
4409,Vere,Drisko,Vere.Drisko@supinfo.com,1997-07-19,Lyon,2019-2020,1,SNCF,Bsc,47.44,Oui,93,Non,6,Oui,93,Non,6
4410,Valeda,Parette,Valeda.Parette@supinfo.com,1994-07-21,Lyon,2019-2020,2,Engie,Msc2,78.69,Non,11,Non,18,Non,11,Non,18
4411,Dorthy,Ade,Dorthy.Ade@supinfo.com,1996-09-17,Lyon,2019-2020,1,RTE,Bsc,89.41,Non,27,Oui,3,Non,27,Oui,3
4412,Maye,Anderea,Maye.Anderea@supinfo.com,1995-12-04,Paris,2019-2020,1,LCL,Bsc,86.96,Non,51,Oui,24,Non,51,Oui,24
4413,Correy,Henrie,Correy.Henrie@supinfo.com,1999-06-28,Paris,2019-2020,1,EDF,Bsc,66.42,Non,48,Oui,3,Non,48,Oui,3
4414,Kittie,Hertzfeld,Kittie.Hertzfeld@supinfo.com,1996-10-20,Lille,2019-2020,1,Talan,Bsc,81.26,Oui,82,Non,18,Oui,82,Non,18
